content,temp_list,content_length
terima kasih terima barang tidak sama dengan gambar iklan.. semoga bisnis awk makin maju dengan cara yang betul yer syg,"['Terima', 'kasih', 'terima', 'barang', 'tidak', 'sama', 'dgn', 'gambar', 'iklan..', 'semoga', 'bisnis', 'awk', 'makin', 'maju', 'dgn', 'cara', 'yg', 'betul', 'yer', 'syg']",111
bahan：not good quality .thumbs_downthumbs_downthumbs_downthumbs_downthumbs_down,"['Bahan：Not', 'good', 'quality', '.👎👎👎👎👎']",29
quality very low cannot buy and cannot refund design:the pic is copy，quality not same,"['quality', 'very', 'low', 'cannot', 'buy', 'and', 'cannot', 'refund', 'Design:the', 'pic', 'is', 'copy，quality', 'not', 'same']",85
"what a lie by seller. it's not like the advertisement. it's too thin. see the picture. the blue one is what i bought from this seller and compare to my old almost yrs black color, which is thick. this seller is not sincere. susah aku mahu halalkan. don't buy.","['What', 'a', 'lie', 'by', 'seller.', ""It's"", 'not', 'like', 'the', 'advertisement.', ""It's"", 'too', 'thin.', 'See', 'the', 'picture.', 'The', 'blue', 'one', 'is', 'what', 'I', 'bought', 'from', 'this', 'seller', 'and', 'compare', 'to', 'my', 'old', 'almost', '3', 'yrs', 'black', 'color,', 'which', 'is', 'thick.', 'This', 'seller', 'is', 'not', 'sincere.', 'Susah', 'aku', 'nak', 'halalkan.', ""Don't"", 'buy.']",261
") delivery vthin time range. ) seller din do good job cos i ordered green, but sent me yellow colour. ) quality is xtremely flimsy and poor, slipper received not as seller advertisement or image shown thick slipper. thickness of slipper is only . ) price is cheap but seller not honest, shouldn't put thick instead of slim slippers.","['1)', 'delivery', 'vthin', 'time', 'range.', '2)', 'seller', 'din', 'do', 'good', 'job', 'cos', 'I', 'ordered', 'GREEN,', 'but', 'sent', 'me', 'yellow', 'colour.', '3)', 'quality', 'is', 'xtremely', 'flimsy', 'n', 'poor,', 'slipper', 'received', 'not', 'as', 'seller', 'advertisement', 'or', 'image', 'shown', 'THICK', 'SLIPPER.', 'Thickness', 'of', 'slipper', 'is', 'only', '1cm.', '4)', 'price', 'is', 'cheap', 'but', 'seller', 'NOT', 'honest,', ""shouldn't"", 'put', 'THICK', 'instead', 'of', 'SLIM', 'SLIPPERS.']",344
"color didn't give correctly and the material not same as the picture, worst experience material:not same as picture quite hard","['Color', ""didn't"", 'give', 'correctly', 'and', 'the', 'material', 'not', 'same', 'as', 'the', 'picture,', 'worst', 'experience', 'Material:not', 'same', 'as', 'picture', 'quite', 'hard']",126
"very sad because of false advertising. item being promoted was the thick slipper, but all i got was this thin slipper that's not nice to walk in. fortunately it was only at purchase.","['Very', 'sad', 'because', 'of', 'false', 'advertising.', 'Item', 'being', 'promoted', 'was', 'the', 'thick', 'slipper,', 'but', 'all', 'I', 'got', 'was', 'this', 'thin', 'slipper', ""that's"", 'not', 'nice', 'to', 'walk', 'in.', 'Fortunately', 'it', 'was', 'only', 'RM7', 'at', 'purchase.']",186
货不对板 商家又不回复 只给表情,"['货不对板', '商家又不回复', '只给表情']",16
toi thin different picturepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_facepersevering_face,"['Toi', 'thin', 'different', 'picture😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣😣']",125
design:menyesal beli sebab tak tebal macam iklan!,"['Design:MENYESAL', 'BELI', 'SEBAB', 'TAK', 'TEBAL', 'MACAM', 'IKLAN!']",49
slipa nipis sangat,"['slipa', 'nipis', 'sgt']",15
important to up size,"['important', 'to', 'up', '1', 'size']",22
"buy black blue, but come both black colour","['Buy', '1', 'black', '1', 'blue,', 'but', 'come', 'both', 'black', 'colour']",46
nipis sikit tidak sama macam model yang tebal tu face_with_stuck-out_tongue_&_closed_eyessmiling_face_with_open_mouth_&_cold_sweatcrying_facedisappointed_face,"['Nipis', 'sikit', 'x', 'sama', 'macam', 'model', 'yg', 'tebal', '4inch', 'tu', '😝😅😢😞']",53
design:selipar dia nampak nipis sebab dalam gambar macam tebal,"['Design:selipar', 'dia', 'nampak', 'nipis', 'sbb', 'dlm', 'gmbr', 'mcm', 'tebal']",54
"size: order size / , yang dapat / . besar gilerrrrr , spoil mood mahu buat pakai time bersalin nanti sleepy_face chat seller , tak respon langsung . padahal sudah read baca tu , kalau size and colournya takde . inform dulu customer , jgn main pos je size and colour lain pada customer !!!!!!!","['Size:', 'order', 'size', '36/37', ',', 'yg', 'dapat', '38/39', '.', 'Besar', 'gilerrrrr', ',', 'spoil', 'mood', 'nak', 'buat', 'pakai', 'time', 'bersalin', 'nanti', '😪', 'Chat', 'seller', ',', 'tak', 'respon', 'langsung', '.', 'Padahal', 'dah', 'read', 'baca', 'tu', ',', 'kalau', 'size', 'and', 'colournya', 'takde', '.', 'Inform', 'dulu', 'customer', ',', 'jgn', 'main', 'pos', 'je', 'size', 'and', 'colour', 'lain', 'pada', 'customer', '!!!!!!!']",286
nipis.. huhuu,"['nipis..', 'huhuu']",13
i bought creamy green colour but i received sharp yellow. dissapointed design:,"['I', 'bought', 'creamy', 'green', 'colour', 'but', 'i', 'received', 'sharp', 'yellow.', 'Dissapointed', 'Design:']",78
dalam gambar lain dpt lain,"['dlm', 'gmbr', 'lain', 'dpt', 'lain']",22
"received different size and colour, even not the same type of slipper of the pic showed.","['Received', 'different', 'size', 'and', 'colour,', 'even', 'not', 'the', 'same', 'type', 'of', 'slipper', 'of', 'the', 'pic', 'showed.']",88
material:good not at the picture listed.next times won't buy with the seller.,"['Material:Good', 'not', 'at', 'the', 'picture', 'listed.Next', 'times', ""won't"", 'buy', 'with', 'the', 'seller.']",77
"actual item is not as described. the sole is not thick as advertised in the pictures. the whole slipper also feels rather flimsy. out of the pairs i bought, one pair was wrong size and another pair was wrong colour. attempt to communicate with the seller is unsuccessful. can see they are online but they just ignore my message. poor customer service. stay away do not buy from them.","['Actual', 'item', 'is', 'not', 'as', 'described.', 'The', 'sole', 'is', 'not', 'thick', 'as', 'advertised', 'in', 'the', 'pictures.', 'The', 'whole', 'slipper', 'also', 'feels', 'rather', 'flimsy.', 'Out', 'of', 'the', '6', 'pairs', 'I', 'bought,', 'one', 'pair', 'was', 'wrong', 'size', 'and', 'another', 'pair', 'was', 'wrong', 'colour.', 'Attempt', 'to', 'communicate', 'with', 'the', 'seller', 'is', 'unsuccessful.', 'Can', 'see', 'they', 'are', 'online', 'but', 'they', 'just', 'ignore', 'my', 'message.', 'Poor', 'customer', 'service.', 'Stay', 'away', 'Do', 'not', 'buy', 'from', 'them.']",385
tidak sesuai pesanan.pesan warna biru yang datang beda,"['tidak', 'sesuai', 'pesanan.pesan', 'warna', 'biru', 'yang', 'datang', 'beda']",54
"nov order ,seller listed delivered on nov but received on nov, very very bad experience on that.","['9', 'Nov', 'order', ',seller', 'listed', 'delivered', 'on', '11', 'Nov', 'but', 'received', 'on', '18', 'Nov,', 'very', 'very', 'bad', 'experience', 'on', 'that.']",104
pesan putih yang sampai dua ii kelabu 🥲,"['Pesan', 'putih', 'yang', 'sampai', 'dua', 'ii', 'kelabu', '🥲']",39
"design: wrong color, poor quality, seller doesn’t reply until now.","['Design:', 'Wrong', 'color,', 'poor', 'quality,', 'seller', 'doesn’t', 'reply', 'until', 'now.']",67
bought orange but give me black. took them days to shipped the item.,"['bought', 'orange', 'but', 'give', 'me', 'black.', 'took', 'them', '5', 'days', 'to', 'shipped', 'the', 'item.']",70
"quality is inferior, customer service is slow","['quality', 'is', 'inferior,', 'customer', 'service', 'is', 'slow']",45
"quality is inferior, delivery is very slow","['quality', 'is', 'inferior,', 'delivery', 'is', 'very', 'slow']",42
material:not satisfied at all size:,"['Material:not', 'satisfied', 'at', 'all', 'Size:okay2']",42
design: not same as photo,"['Design:', 'not', 'same', 'as', 'photo']",26
design: not same,"['Design:', 'not', 'same']",17
i did not receive,"['i', 'did', 'not', 'receive']",17
"product totally different with the picture,picture shown that is thick but the shoe received is very thin","['product', 'totally', 'different', 'with', 'the', 'picture,picture', 'shown', 'that', 'is', 'thick', 'but', 'the', 'shoe', 'received', 'is', 'very', 'thin']",105
"not as advertised, seller misleading! do avoid this seller if you want a good quality","['Not', 'as', 'advertised,', 'seller', 'misleading!', 'Do', 'avoid', 'this', 'seller', 'if', 'you', 'want', 'a', 'good', 'quality']",85
customer service is pretty bad. requested invoice many times without giving a proper answer and just ignorance by sending irrelevant emoji! material of the shoes not as thick as shown and very slippery if wear inside washroom. very unsatisfied with this seller! material:,"['customer', 'service', 'is', 'pretty', 'bad.', 'Requested', 'invoice', 'many', 'times', 'without', 'giving', 'a', 'proper', 'answer', 'and', 'just', 'ignorance', 'by', 'sending', 'irrelevant', 'emoji!', 'material', 'of', 'the', 'shoes', 'not', 'as', 'thick', 'as', 'shown', 'and', 'very', 'slippery', 'if', 'wear', 'inside', 'washroom.', 'very', 'unsatisfied', 'with', 'this', 'seller!', 'Material:']",274
i ordered yellow but i get orange color,"['I', 'ordered', 'yellow', 'but', 'I', 'get', 'orange', 'color']",39
material:nipis sangat,"['Material:nipis', 'sangat']",21
"item difference with pictures, bad","['item', 'difference', 'with', 'pictures,', 'bad']",34
photo and stock recd are different. low quality. first and last time purchase.,"['Photo', 'and', 'stock', 'recd', 'are', 'different.', 'low', 'quality.', 'First', 'and', 'last', 'time', 'purchase.']",79
its the thin slipper misleading pics,"['Its', 'the', 'thin', 'slipper', 'misleading', 'pics']",36
not same with pic at all thumbs_downlight_skin_tonethumbs_downlight_skin_tone,"['Not', 'same', 'with', 'pic', 'at', 'all', '👎🏻👎🏻']",29
"the slippers is very thin, not same the photo","['the', 'slippers', 'is', 'very', 'thin,', 'not', 'same', 'the', 'photo']",45
too thin,"['too', 'thin']",8
give me one less pair of shoes！,"['Give', 'me', 'one', 'less', 'pair', 'of', 'shoes！']",31
terbaekkk,['terbaekkk'],9
seller not respond my chat,"['Seller', 'not', 'respond', 'my', 'chat']",26
material:the material is very hard/stiff and not comfortable at all.,"['Material:The', 'material', 'is', 'very', 'hard/stiff', 'and', 'not', 'comfortable', 'at', 'all.']",68
"design:fast delivery, thanks seller.","['Design:fast', 'delivery,', 'thanks', 'seller.']",36
"design:fast delivery, thanks seller.","['Design:fast', 'delivery,', 'thanks', 'seller.']",36
"design:fast delivery, thanks seller.","['Design:fast', 'delivery,', 'thanks', 'seller.']",36
received in good condition. value for money. a bit thin from picture but it's ok,"['received', 'in', 'good', 'condition.', 'value', 'for', 'money.', 'a', 'bit', 'thin', 'from', 'picture', 'but', ""it's"", 'ok']",80
"material: good quality, soft and comfortable, size: ok design: well packaged, good condition, nice colour as per picture","['Material:', 'good', 'quality,', 'soft', 'n', 'comfortable,', 'Size:', 'ok', 'Design:', 'well', 'packaged,', 'good', 'condition,', 'nice', 'colour', 'as', 'per', 'picture']",124
"i’m very satisfied. product quality is good & good valve for money. customer service attitude is very good. the delivery speed is fast, packaging are good. i’ll repurchase again.","['I’m', 'very', 'satisfied.', 'Product', 'quality', 'is', 'good', '&', 'good', 'valve', 'for', 'money.', 'Customer', 'service', 'attitude', 'is', 'very', 'good.', 'The', 'delivery', 'speed', 'is', 'fast,', 'packaging', 'are', 'good.', 'I’ll', 'repurchase', 'again.']",178
material：ok size：good design：not bad thank you championtrading and ninja van..my order received well and in good condition...thumbs up,"['Material：ok', 'Size：good', 'Design：not', 'bad', 'Thank', 'you', 'championtrading', 'and', 'ninja', 'van..my', 'order', 'received', 'well', 'and', 'in', 'good', 'condition...thumbs', 'up']",135
material：ok size：good design：not bad thank you championtrading and ninja van..my order received well and in good condition...thumbs up,"['Material：ok', 'Size：good', 'Design：not', 'bad', 'Thank', 'you', 'championtrading', 'and', 'ninja', 'van..my', 'order', 'received', 'well', 'and', 'in', 'good', 'condition...thumbs', 'up']",135
material:rubber size:ok design:design cantik cuma nipis sikit tetapi ok sesuai dengan harga yang di tawarkan,"['Material:rubber', 'Size:ok', 'ngam2', 'Design:design', 'cantik', 'cuma', 'nipis', 'sikit', 'tapi', 'ok', 'sesuai', 'dgn', 'harga', 'yg', 'di', 'tawarkan']",111
material:rubber size:ok design:design cun tetapi masalah order wrna biru tetapi terima wrna hitam nasib ank ok dia terima je,"['Material:rubber', 'Size:ok', 'ngam2', 'Design:design', 'cun', 'tapi', 'masalah', 'order', 'wrna', 'biru', 'tapi', 'terima', 'wrna', 'hitam', 'nasib', 'ank', 'ok', 'dia', 'terima', 'je']",129
thanks for the just received it hopefully it will be good,"['Thanks', 'for', 'the', 'just', 'received', 'it', 'hopefully', 'it', 'will', 'be', 'good']",57
thanks for the just received it hopefully it will be good,"['Thanks', 'for', 'the', 'just', 'received', 'it', 'hopefully', 'it', 'will', 'be', 'good']",57
tq seller..cepat wat keje..leh beli lgi..recomemded...terbaik...saiz pun ngam...tq tq tq,"['tq', 'seller..cepat', 'wat', 'keje..leh', 'beli', 'lgi..recomemded...terbaik...saiz', 'pun', 'ngam...tq', 'tq', 'tq']",88
goods received in good condition .fast delivery . thank you very much seller smiling_face_with_smiling_eyes .,"['Goods', 'received', 'in', 'good', 'condition', '.Fast', 'delivery', '.', 'Thank', 'you', 'very', 'much', 'seller', '😊', '.']",80
"fast delivery,deliver within days,quality look good,worth buying.","['fast', 'delivery,deliver', 'within', '4', 'days,quality', 'look', 'good,worth', 'buying.']",67
material:light rubber size:follow yr feet measurement,"['Material:light', 'rubber', 'Size:follow', 'yr', 'feet', 'measurement']",53
material:okay only size:correct design:not as good as some other make there's another type that looks the same but softer and thicker. these are not them frowning_face️,"['Material:Okay', 'only', 'Size:Correct', 'Design:Not', 'as', 'good', 'as', 'some', 'other', 'make', ""There's"", 'another', 'type', 'that', 'looks', 'the', 'same', 'but', 'softer', 'and', 'thicker.', 'These', 'are', 'not', 'them', '☹️']",156
goods receive in good condition and in well packaging for delivery to my house.,"['goods', 'receive', 'in', 'good', 'condition', 'and', 'in', 'well', 'packaging', 'for', 'delivery', 'to', 'my', 'house.']",79
alhamdulillah selipar sudah sampai dengan selamat.. terima kasih boss..,"['alhamdulillah', 'selipar', 'dah', 'sampai', 'dengan', 'selamat..', 'terima', 'kasih', 'boss..']",69
comel and barang sampai dengan cepat dan selamat .terima kasih,"['comel', 'n', 'barang', 'sampai', 'dengan', 'cepat', 'Dan', 'Selamat', '.TERIMA', 'kasih']",60
material very light and thin. product received in order. thank you seller and delivery man for very fast delivery raising_hands,"['material', 'very', 'light', 'and', 'thin.', 'product', 'received', 'in', 'order.', 'thank', 'you', 'seller', 'and', 'delivery', 'man', 'for', 'very', 'fast', 'delivery', '🙌']",116
thanks sellersmiling_face_with_smiling_eyes,"['Thanks', 'seller😊']",14
receive in good condition thank you seller very satisfied s,"['receive', 'in', 'good', 'condition', 'thank', 'you', 'seller', 'very', 'satisfied', 's']",59
alhamdulilah barang sudah sampai terimakasih seller laju macam roket china barang berkualiti terbaikkkkkkk mantap pak abu,"['alhamdulilah', 'barang', 'dah', 'sampai', 'terimakasih', 'seller', 'laju', 'macam', 'roket', 'China', 'barang', 'berkualiti', 'terbaikkkkkkk', 'mantap', 'pak', 'Abu']",119
bagus murah..saiz betul dan tepat..cuma bukan yang tebal..tapi ok la lembut juga..ringan,"['bagus', 'murah..saiz', 'betul', 'dan', 'tepat..cuma', 'bukan', 'yang', 'sangat2', 'tebal..tapi', 'ok', 'la', 'lembut', 'juga..ringan']",96
"material:getah lembut,tapak nipis size:saiz ngam dengan ank bujang design:simple tetapi oklh utk pakai .","['Material:getah', 'lembut,tapak', 'nipis', 'Size:saiz', 'ngam', 'dgn', 'ank', 'bujang', 'Design:simple', 'tp', 'oklh', 'utk', 'pakai', 'hari2.']",102
material:not the one that l order size:true design:k dear seller why do you have to do this... not the one l order. not tge same as the picture.. l order the thick one.. but srnd the thin one... not happy about it... don't cheat the buyer.. not recommend this seller.... cheater,"['Material:not', 'the', 'one', 'that', 'l', 'order', 'Size:true', 'Design:k', 'dear', 'seller', 'why', 'do', 'you', 'have', 'to', 'do', 'this...', 'not', 'the', 'one', 'l', 'order.', 'not', 'tge', 'same', 'as', 'the', 'picture..', 'l', 'order', 'the', 'thick', 'one..', 'but', 'srnd', 'the', 'thin', 'one...', 'not', 'happy', 'about', 'it...', ""don't"", 'cheat', 'the', 'buyer..', 'not', 'recommend', 'this', 'seller....', 'cheater']",278
"material:selipar cantik , nipis sikit tetapi sesuai la dengan harga...tq sellerface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissface_blowing_a_kiss","['Material:selipar', 'cantik', ',', 'nipis', 'sikit', 'tp', 'sesuai', 'la', 'dgn', 'harga...tq', 'seller😘😘😘😘😘😘']",78
barang da sampai terime kasih saya beli,"['barang', 'da', 'sampai', 'terime', 'kasih', 'saya', 'beli']",39
delivery didn't call just passed to guard house,"['delivery', ""didn't"", 'call', 'just', 'passed', 'to', 'guard', 'house']",47
material:ringan size design cantik,"['Material:ringan', 'size', 'gum2', 'design', 'cantik']",39
ok. nice. could do better with time of delivery. the rest ok.,"['ok.', 'nice.', 'could', 'do', 'better', 'with', 'time', 'of', 'delivery.', 'the', 'rest', 'ok.']",61
received in good condition. nipis je guys xmcm dalam gamba tetapi ngamla dengan harga kan.,"['received', 'in', 'good', 'condition.', 'nipis', 'je', 'guys', 'xmcm', 'dlm', 'gamba', 'tapi', 'ngamla', 'dgn', 'harga', 'kan.']",84
"barang sampai seperti dijanjikan, boleh lah utk basahan.sesuai dengan harga.thank you seller.trusted thumbs_upthumbs_upthumbs_upthumbs_up","['barang', 'sampai', 'seperti', 'dijanjikan,', 'boleh', 'lah', 'utk', 'basahan.sesuai', 'dgn', 'harga.thank', 'you', 'seller.Trusted', '👍👍👍👍']",102
sudah sampai kali order dah............................,"['dah', 'sampai', '2', 'kali', 'order', 'dah............................']",55
good wow amazing great performance wow well played good game mvp star player,"['good', 'wow', 'amazing', 'great', 'performance', 'wow', 'well', 'played', 'good', 'game', 'mvp', 'star', 'player']",76
size:fit my feet.. must buy one size bigger than your normal size.,"['Size:fit', 'my', 'feet..', 'must', 'buy', 'one', 'size', 'bigger', 'than', 'your', 'normal', 'size.']",66
"goods received in good order and conditional， value of money, fast delivery, thank you seller folded_handslight_skin_tonefolded_handslight_skin_tonefolded_handslight_skin_tone","['Goods', 'received', 'in', 'good', 'order', 'and', 'conditional，', 'value', 'of', 'money,', 'fast', 'delivery,', 'thank', 'you', 'seller', '🙏🏻🙏🏻🙏🏻']",100
"received the above item in good condition. light in weight, comfortable for bathroom use. qty: pairs color family: yellow, blue","['Received', 'the', 'above', 'item', 'in', 'good', 'condition.', 'Light', 'in', 'weight,', 'comfortable', 'for', 'bathroom', 'use.', 'Qty:', '2', 'pairs', 'Color', 'Family:', 'Yellow,', 'Blue']",130
selipar cantik.. murah and puas hati.. thanks seller and adik delivery..,"['Selipar', 'cantik..', 'Murah', 'n', 'puas', 'hati..', 'Thanks', 'seller', 'n', 'adik', 'delivery..']",68
ok for this pricing. not yet use it . fast delivery.,"['Ok', 'for', 'this', 'pricing.', 'Not', 'yet', 'use', 'it', '.', 'Fast', 'delivery.']",52
received with good condition.price is reasonable. thank you seller,"['Received', 'with', 'good', 'condition.price', 'is', 'reasonable.', 'Thank', 'you', 'seller']",66
alhamdulillah syukur brg yang telah selamat sampai diperkarangan rumah sya tqqqq soooo much sellier penghantaran yang terbaik and laju i like it sandal ini memng bagus and ok ♡roseface_blowing_a_kiss🤩🥰smiling_face_with_heart-eyesbeating_heartrevolving_heartsheart_with_ribbonOK_handlight_skin_tonewhite_medium_startqqq jgk buat brother yang menghantar barang sya ini,"['Alhamdulillah', 'syukur', 'brg', 'yg', 'dinanti2', 'telah', 'selamat', 'smpai', 'diperkarangan', 'rumah', 'sya', 'tqqqq', 'soooo', 'much', 'sellier', 'penghantaran', 'yang', 'terbaik', 'n', 'laju', 'i', 'like', 'it', 'sandal', 'ni', 'memng', 'bagus', 'n', 'ok', '♡🌹😘🤩🥰😍💓💞💝👌🏻⭐tqqq', 'jgk', 'buat', 'brother', 'yg', 'menghantar', 'barang', 'sya', 'ni']",237
kasut ok,"['kasut', 'ok']",8
terbaik. fast shipping fast shipping.terbaik. fast shipping fast shipping.terbaik. fast shipping fast shipping.terbaik. fast shipping fast shipping..jazakallah. alhamdulillah. subhanallah. size:ngam ikut size sebenar,"['Terbaik.', 'Fast', 'shipping', 'fast', 'shipping.Terbaik.', 'Fast', 'shipping', 'fast', 'shipping.Terbaik.', 'Fast', 'shipping', 'fast', 'shipping.Terbaik.', 'Fast', 'shipping', 'fast', 'shipping..jazakallah.', 'Alhamdulillah.', 'Subhanallah.', 'Size:ngam', 'ikut', 'size', 'sebenar']",216
material:as described size:suit nicely as described by seller design:comfortable,"['Material:as', 'described', 'Size:suit', 'nicely', 'as', 'described', 'by', 'seller', 'Design:comfortable']",80
order // received // fast delivery quality ok thumbs_up value for money i shall certainly order from your shop again in futuresmiling_face_with_open_mouth_&_smiling_eyes,"['Order', '13/03/2023', 'Received', '15/03/2023', 'Fast', 'Delivery', 'Quality', 'OK', '👍', 'Value', 'for', 'money', 'I', 'shall', 'certainly', 'order', 'from', 'your', 'shop', 'again', 'in', 'future😄']",135
good received in good condition and well packaged. true the size,"['Good', 'received', 'in', 'good', 'condition', 'and', 'well', 'packaged.', 'True', 'the', 'size']",64
